absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,ahlersd__total_count,democrat__total_count,roundsm__total_count,republican__total_count,ahlersd__absentee_count,roundsm__absentee_count
unknown,349,Merged into voters' home precincts and released with cumulative results,,0,95,95% reported,edison,95%,46003,2020-11-04T10:43:47Z,R+43,Rounds +43,42.63345,republican,Aurora,5,,,4,1479,2,1405,403,403,1002,1002,0,0
some,3675,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,46005,2020-11-04T10:43:49Z,R+44,Rounds +44,43.97743,republican,Beadle,10,,,9,7090,6,7090,1986,1986,5104,5104,0,0
unknown,352,Merged into voters' home precincts and released with cumulative results,,0,92,92% reported,edison,92%,46007,2020-11-05T15:25:43Z,R+25,Rounds +25,25.04288,republican,Bennett,4,,,4,1264,2,1166,437,437,729,729,0,0
unknown,656,Merged into voters' home precincts and released with cumulative results,,0,93,93% reported,edison,93%,46009,2020-11-04T10:43:51Z,R+44,Rounds +44,44.21405,republican,Bon Homme,5,,,4,3231,2,2990,834,834,2156,2156,0,0
all,11464,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,46011,2020-11-04T21:35:50Z,R+21,Rounds +21,20.95199,republican,Brookings,9,,,9,14566,6,14538,5746,5746,8792,8792,0,0
all,7536,Other,,0,100,>98% reported,edison,>98%,46013,2020-11-04T10:43:51Z,R+29,Rounds +29,28.87707,republican,Brown,12,,,12,17668,6,17668,6283,6283,11385,11385,0,0
unknown,987,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,46015,2020-11-04T10:43:51Z,R+39,Rounds +39,39.30149,republican,Brule,5,,,5,2500,2,2491,756,756,1735,1735,0,0
unknown,347,Merged into voters' home precincts and released with cumulative results,,0,81,81% reported,edison,81%,46017,2020-11-05T18:41:43Z,D+18,Ahlers +18,18.16514,democrat,Buffalo,3,,,3,674,2,545,322,322,223,223,0,0
unknown,2926,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,46019,2020-11-05T15:35:43Z,R+60,Rounds +60,59.7065,republican,Butte,16,,,16,4873,2,4770,961,961,3809,3809,0,0
unknown,146,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,46021,2020-11-04T10:43:52Z,R+72,Rounds +72,71.85698,republican,Campbell,5,,,5,874,2,867,122,122,745,745,0,0
unknown,1029,Merged into voters' home precincts and released with cumulative results,,0,96,96% reported,edison,96%,46023,2020-11-05T15:01:44Z,R+34,Rounds +34,33.75428,republican,Charles Mix,13,,,13,3957,2,3801,1259,1259,2542,2542,0,0
unknown,539,Merged into voters' home precincts and released with cumulative results,,0,92,92% reported,edison,92%,46025,2020-11-04T10:43:53Z,R+51,Rounds +51,51.27233,republican,Clark,12,,,12,2016,2,1847,450,450,1397,1397,0,0
all,2845,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,46027,2020-11-05T14:35:43Z,R+0.88,Rounds +0.88,0.88277,republican,Clay,7,,,7,5696,6,5664,2807,2807,2857,2857,0,0
unknown,7499,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,46029,2020-11-04T10:43:53Z,R+45,Rounds +45,44.66234,republican,Codington,24,,,24,13161,6,13105,3626,3626,9479,9479,0,0
unknown,179,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,46031,2020-11-04T10:43:53Z,R+8,Rounds +8,7.75316,republican,Corson,14,,,13,1261,2,1264,583,583,681,681,0,0
unknown,2883,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,46033,2020-11-04T23:05:50Z,R+46,Rounds +46,45.63783,republican,Custer,10,,,10,5500,2,5456,1483,1483,3973,3973,0,0
all,4008,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,46035,2020-11-04T20:06:01Z,R+40,Rounds +40,39.76046,republican,Davison,7,,,7,8454,6,8433,2540,2540,5893,5893,0,0
unknown,2443,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,46037,2020-11-04T10:43:54Z,R+28,Rounds +28,27.86775,republican,Day,14,,,13,3020,2,2964,1069,1069,1895,1895,0,0
unknown,606,Merged into voters' home precincts and released with cumulative results,,0,97,97% reported,edison,97%,46039,2020-11-04T10:43:55Z,R+46,Rounds +46,46.37062,republican,Deuel,10,,,10,2403,2,2342,628,628,1714,1714,0,0
unknown,477,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,46041,2020-11-04T16:11:50Z,D+9,Ahlers +9,9.14697,democrat,Dewey,11,,,11,1992,2,1946,1062,1062,884,884,0,0
unknown,126,Merged into voters' home precincts and released with cumulative results,,0,96,96% reported,edison,96%,46043,2020-11-04T10:43:57Z,R+72,Rounds +72,72.41784,republican,Douglas,6,,,6,1777,2,1704,235,235,1469,1469,0,0
unknown,475,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,46045,2020-11-04T10:43:58Z,R+55,Rounds +55,54.90689,republican,Edmunds,6,,,6,2035,2,1987,448,448,1539,1539,0,0
unknown,2019,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,46047,2020-11-05T16:55:43Z,R+50,Rounds +50,50.37481,republican,Fall River,9,,,9,3991,2,4002,993,993,3009,3009,0,0
unknown,141,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,46049,2020-11-04T10:43:59Z,R+64,Rounds +64,64.14141,republican,Faulk,7,,,7,1184,2,1188,213,213,975,975,0,0
unknown,1406,Merged into voters' home precincts and released with cumulative results,,0,94,94% reported,edison,94%,46051,2020-11-05T14:35:43Z,R+45,Rounds +45,45.2654,republican,Grant,18,,,17,3991,2,3749,1026,1026,2723,2723,0,0
unknown,571,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,46053,2020-11-04T10:43:26Z,R+57,Rounds +57,56.7184,republican,Gregory,3,,,3,2261,2,2255,488,488,1767,1767,0,0
unknown,520,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,46055,2020-11-04T16:11:50Z,R+81,Rounds +81,81.37083,republican,Haakon,6,,,6,1148,2,1138,106,106,1032,1032,0,0
unknown,994,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,46057,2020-11-04T10:43:28Z,R+57,Rounds +57,57.1987,republican,Hamlin,7,,,7,3091,2,3070,657,657,2413,2413,0,0
unknown,693,Merged into voters' home precincts and released with cumulative results,,0,96,96% reported,edison,96%,46059,2020-11-04T17:11:50Z,R+59,Rounds +59,59.31109,republican,Hand,12,,,11,1943,2,1858,378,378,1480,1480,0,0
unknown,2016,Merged into voters' home precincts and released with cumulative results,,0,93,93% reported,edison,93%,46061,2020-11-04T10:43:28Z,R+52,Rounds +52,52.20339,republican,Hanson,5,,,5,2540,2,2360,564,564,1796,1796,0,0
unknown,251,Merged into voters' home precincts and released with cumulative results,,0,93,93% reported,edison,93%,46063,2020-11-04T10:43:28Z,R+82,Rounds +82,81.75,republican,Harding,8,,,7,862,2,800,73,73,727,727,0,0
all,5670,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,46065,2020-11-05T17:51:44Z,R+42,Rounds +42,41.89205,republican,Hughes,6,,,6,8665,6,8763,2546,2546,6217,6217,0,0
unknown,776,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,46067,2020-11-04T21:55:50Z,R+59,Rounds +59,58.87054,republican,Hutchinson,7,,,7,3600,2,3754,772,772,2982,2982,0,0
unknown,208,Merged into voters' home precincts and released with cumulative results,,0,92,92% reported,edison,92%,46069,2020-11-04T10:43:29Z,R+60,Rounds +60,59.77496,republican,Hyde,1,,,1,771,2,711,143,143,568,568,0,0
unknown,240,Merged into voters' home precincts and released with cumulative results,,0,96,96% reported,edison,96%,46071,2020-11-04T10:43:29Z,R+36,Rounds +36,35.84906,republican,Jackson,8,,,7,1163,2,1113,357,357,756,756,0,0
unknown,304,Merged into voters' home precincts and released with cumulative results,,0,94,94% reported,edison,94%,46073,2020-11-05T19:25:40Z,R+44,Rounds +44,44.4333,republican,Jerauld,5,,,5,1058,2,997,277,277,720,720,0,0
unknown,197,Merged into voters' home precincts and released with cumulative results,,0,93,93% reported,edison,93%,46075,2020-11-04T10:43:31Z,R+67,Rounds +67,66.77852,republican,Jones,3,,,3,640,2,596,99,99,497,497,0,0
unknown,618,Merged into voters' home precincts and released with cumulative results,,0,96,96% reported,edison,96%,46077,2020-11-04T20:45:51Z,R+42,Rounds +42,41.77762,republican,Kingsbury,7,,,7,2886,2,2779,809,809,1970,1970,0,0
unknown,3936,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,46079,2020-11-04T10:43:32Z,R+30,Rounds +30,29.68564,republican,Lake,10,,,8,5885,6,5885,2069,2069,3816,3816,0,0
all,6941,Released as a precinct in the middle of the night,,0,99,>98% reported,edison,>98%,46081,2020-11-04T17:45:51Z,R+37,Rounds +37,36.57862,republican,Lawrence,11,,,11,13827,6,13743,4358,4358,9385,9385,0,0
all,8870,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,46083,2020-11-04T21:55:51Z,R+32,Rounds +32,31.66842,republican,Lincoln,31,,,31,32455,6,32234,11013,11013,21221,21221,0,0
unknown,136,Merged into voters' home precincts and released with cumulative results,,0,97,97% reported,edison,97%,46085,2020-11-05T14:31:12Z,R+33,Rounds +33,33.33333,republican,Lyman,7,,,7,1649,2,1599,533,533,1066,1066,0,0
unknown,680,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,46091,2020-11-04T10:43:35Z,R+22,Rounds +22,21.9936,republican,Marshall,9,,,9,2088,2,2187,853,853,1334,1334,0,0
unknown,744,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,46087,2020-11-04T21:11:51Z,R+43,Rounds +43,42.55246,republican,McCook,6,,,6,2892,2,2907,835,835,2072,2072,0,0
unknown,683,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,46089,2020-11-04T10:43:35Z,R+64,Rounds +64,64.42089,republican,McPherson,6,,,6,1277,2,1321,235,235,1086,1086,0,0
unknown,3994,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,46093,2020-11-04T16:20:53Z,R+53,Rounds +53,53.05595,republican,Meade,37,,,37,13800,2,13531,3176,3176,10355,10355,0,0
unknown,290,Merged into voters' home precincts and released with cumulative results,,0,95,95% reported,edison,95%,46095,2020-11-04T10:43:36Z,R+21,Rounds +21,21.40078,republican,Mellette,4,,,4,808,2,771,303,303,468,468,0,0
unknown,322,Merged into voters' home precincts and released with cumulative results,,0,91,91% reported,edison,91%,46097,2020-11-04T10:43:36Z,R+41,Rounds +41,40.8377,republican,Miner,8,,,8,1262,2,1146,339,339,807,807,0,0
none,25270,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,46099,2020-11-05T22:25:41Z,R+15,Rounds +15,15.26012,republican,Minnehaha,71,,,71,87655,4,91572,38799,38799,52773,52773,0,0
unknown,768,Merged into voters' home precincts and released with cumulative results,,0,96,96% reported,edison,96%,46101,2020-11-04T10:43:36Z,R+17,Rounds +17,16.58385,republican,Moody,6,,,6,3356,2,3220,1343,1343,1877,1877,0,0
unknown,1106,None,,0,91,91% reported,edison,91%,46102,2020-11-06T21:20:37Z,D+68,Ahlers +68,68.13496,democrat,Oglala Lakota,9,,,9,3522,2,3201,2691,2691,510,510,0,0
all,8515,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,46103,2020-11-04T18:40:56Z,R+33,Rounds +33,32.54334,republican,Pennington,47,,,47,53472,4,56878,19184,19184,37694,37694,0,0
unknown,453,Merged into voters' home precincts and released with cumulative results,,0,91,91% reported,edison,91%,46105,2020-11-04T10:43:37Z,R+70,Rounds +70,69.70803,republican,Perkins,10,,,9,1799,2,1644,249,249,1395,1395,0,0
unknown,454,Released as a precinct in the middle of the night,,0,95,95% reported,edison,95%,46107,2020-11-04T10:43:37Z,R+68,Rounds +68,67.63006,republican,Potter,3,,,3,1452,2,1384,224,224,1160,1160,0,0
unknown,966,Merged into voters' home precincts and released with cumulative results,,0,91,91% reported,edison,91%,46109,2020-11-04T10:43:38Z,R+18,Rounds +18,17.73743,republican,Roberts,12,,,12,4710,2,4296,1767,1767,2529,2529,0,0
unknown,237,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,46111,2020-11-04T10:43:38Z,R+52,Rounds +52,52.33249,republican,Sanborn,4,,,4,1181,2,1179,281,281,898,898,0,0
unknown,856,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,46115,2020-11-04T10:43:39Z,R+38,Rounds +38,37.67383,republican,Spink,9,,,9,3197,2,3164,986,986,2178,2178,0,0
unknown,144,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,46117,2020-11-04T10:43:40Z,R+54,Rounds +54,54.23729,republican,Stanley,3,,,3,1647,2,1652,378,378,1274,1274,0,0
unknown,234,Released as a separate subtotal at the end of tabulation,,0,100,>98% reported,edison,>98%,46119,2020-11-04T10:43:41Z,R+64,Rounds +64,63.75405,republican,Sully,4,,,4,905,2,927,168,168,759,759,0,0
unknown,358,Merged into voters' home precincts and released with cumulative results,,0,95,95% reported,edison,95%,46121,2020-11-04T10:43:42Z,D+44,Ahlers +44,43.56515,democrat,Todd,9,,,9,2625,2,2502,1796,1796,706,706,0,0
unknown,750,Merged into voters' home precincts and released with cumulative results,,0,95,95% reported,edison,95%,46123,2020-11-05T15:21:07Z,R+63,Rounds +63,62.67658,republican,Tripp,13,,,12,2829,2,2690,502,502,2188,2188,0,0
unknown,906,Merged into voters' home precincts and released with cumulative results,,0,97,97% reported,edison,97%,46125,2020-11-04T10:43:43Z,R+50,Rounds +50,50.41832,republican,Turner,8,,,8,4659,2,4542,1126,1126,3416,3416,0,0
all,2523,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,46127,2020-11-04T18:21:50Z,R+45,Rounds +45,45.04669,republican,Union,13,,,13,8855,6,8782,2413,2413,6369,6369,0,0
unknown,573,None,,0,99,>98% reported,edison,>98%,46129,2020-11-04T10:43:43Z,R+59,Rounds +59,59.06433,republican,Walworth,10,,,9,2604,2,2565,525,525,2040,2040,0,0
none,6408,Released as a precinct at the end of tabulation,,0,99,>98% reported,edison,>98%,46135,2020-11-04T10:43:44Z,R+29,Rounds +29,29.01679,republican,Yankton,7,,,7,11000,4,10842,3848,3848,6994,6994,0,0
unknown,130,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,46137,2020-11-04T10:43:44Z,D+0.88,Ahlers +0.88,0.88106,democrat,Ziebach,6,,,6,806,2,908,458,458,450,450,0,0
