timestamp,democrat__count,democrat__delta,democrat__percent,republican__count,republican__delta,republican__percent
2020-11-04 02:06:59+00:00,7315.0,0.0,0.24100000000000002,16998.0,0.0,0.56
2020-11-04 02:09:05+00:00,13862.0,6547.0,0.206,42122.0,25124.0,0.626
2020-11-04 02:10:04+00:00,21382.0,7520.0,0.197,69137.0,27015.0,0.637
2020-11-04 02:11:21+00:00,31372.0,9990.0,0.199,100104.0,30967.0,0.635
2020-11-04 02:14:55+00:00,32156.0,784.0,0.193,107297.0,7193.0,0.644
2020-11-04 02:18:40+00:00,32717.0,561.0,0.192,110419.0,3122.0,0.648
2020-11-04 02:23:58+00:00,46560.0,13843.0,0.2,150618.0,40199.0,0.647
2020-11-04 02:25:06+00:00,48681.0,2121.0,0.199,159007.0,8389.0,0.65
2020-11-04 02:30:00+00:00,48796.0,115.0,0.199,159387.0,380.0,0.65
2020-11-04 02:34:40+00:00,50883.0,2087.0,0.191,176091.0,16704.0,0.661
2020-11-04 02:35:15+00:00,52436.0,1553.0,0.192,179702.0,3611.0,0.658
2020-11-04 02:39:16+00:00,53434.0,998.0,0.191,184083.0,4381.0,0.658
2020-11-04 02:42:23+00:00,78120.0,24686.0,0.217,224280.0,40197.0,0.623
2020-11-04 02:45:42+00:00,85463.0,7343.0,0.215,248041.0,23761.0,0.624
2020-11-04 02:46:37+00:00,85489.0,26.0,0.215,248117.0,76.0,0.624
2020-11-04 02:50:29+00:00,87807.0,2318.0,0.211,260093.0,11976.0,0.625
2020-11-04 02:52:14+00:00,96857.0,9050.0,0.207,293847.0,33754.0,0.628
2020-11-04 02:54:15+00:00,118901.0,22044.0,0.201,377998.0,84151.0,0.639
2020-11-04 02:55:52+00:00,125030.0,6129.0,0.199,401479.0,23481.0,0.639
2020-11-04 02:57:22+00:00,139950.0,14920.0,0.201,444216.0,42737.0,0.638
2020-11-04 03:03:40+00:00,155058.0,15108.0,0.195,512886.0,68670.0,0.645
2020-11-04 03:06:03+00:00,156281.0,1223.0,0.195,516128.0,3242.0,0.644
2020-11-04 03:06:25+00:00,157441.0,1160.0,0.195,521573.0,5445.0,0.646
2020-11-04 03:10:42+00:00,167049.0,9608.0,0.19,574122.0,52549.0,0.653
2020-11-04 03:11:52+00:00,168880.0,1831.0,0.19,579525.0,5403.0,0.652
2020-11-04 03:12:55+00:00,176994.0,8114.0,0.191,604188.0,24663.0,0.652
2020-11-04 03:16:36+00:00,177288.0,294.0,0.19,609311.0,5123.0,0.653
2020-11-04 03:18:18+00:00,186430.0,9142.0,0.185,665102.0,55791.0,0.66
2020-11-04 03:21:10+00:00,191912.0,5482.0,0.184,689425.0,24323.0,0.661
2020-11-04 03:22:21+00:00,197591.0,5679.0,0.18,729991.0,40566.0,0.665
2020-11-04 03:26:09+00:00,201407.0,3816.0,0.179,750494.0,20503.0,0.667
2020-11-04 03:26:12+00:00,202244.0,837.0,0.179,754740.0,4246.0,0.668
2020-11-04 03:31:34+00:00,209938.0,7694.0,0.178,787858.0,33118.0,0.668
2020-11-04 03:32:45+00:00,210809.0,871.0,0.178,791123.0,3265.0,0.668
2020-11-04 03:34:42+00:00,224464.0,13655.0,0.179,840170.0,49047.0,0.67
2020-11-04 03:36:40+00:00,227351.0,2887.0,0.177,860593.0,20423.0,0.67
2020-11-04 03:38:56+00:00,271114.0,43763.0,0.192,923486.0,62893.0,0.654
2020-11-04 03:40:26+00:00,273919.0,2805.0,0.192,933039.0,9553.0,0.654
2020-11-04 03:44:47+00:00,288645.0,14726.0,0.193,975114.0,42075.0,0.652
2020-11-04 03:47:18+00:00,290119.0,1474.0,0.193,978588.0,3474.0,0.651
2020-11-04 03:48:12+00:00,291783.0,1664.0,0.192,990847.0,12259.0,0.652
2020-11-04 03:51:59+00:00,294780.0,2997.0,0.191,1009354.0,18507.0,0.654
2020-11-04 03:55:27+00:00,303476.0,8696.0,0.192,1033713.0,24359.0,0.654
2020-11-04 03:57:15+00:00,304163.0,687.0,0.192,1036058.0,2345.0,0.654
2020-11-04 03:58:58+00:00,306113.0,1950.0,0.191,1051361.0,15303.0,0.656
2020-11-04 04:00:23+00:00,307439.0,1326.0,0.191,1055916.0,4555.0,0.656
2020-11-04 04:01:23+00:00,321476.0,14037.0,0.194,1080425.0,24509.0,0.652
2020-11-04 04:06:36+00:00,327566.0,6090.0,0.195,1093566.0,13141.0,0.651
2020-11-04 04:16:44+00:00,330042.0,2476.0,0.195,1100141.0,6575.0,0.65
2020-11-04 04:22:35+00:00,350469.0,20427.0,0.199,1132418.0,32277.0,0.643
2020-11-04 04:27:44+00:00,355089.0,4620.0,0.199,1149134.0,16716.0,0.644
2020-11-04 04:29:05+00:00,353719.0,-1370.0,0.198,1150479.0,1345.0,0.644
2020-11-04 04:33:14+00:00,354018.0,299.0,0.198,1151453.0,974.0,0.644
2020-11-04 04:36:25+00:00,359876.0,5858.0,0.199,1162814.0,11361.0,0.643
2020-11-04 04:45:42+00:00,360054.0,178.0,0.199,1163389.0,575.0,0.643
2020-11-04 04:49:22+00:00,360181.0,127.0,0.199,1163798.0,409.0,0.643
2020-11-04 04:50:55+00:00,365594.0,5413.0,0.2,1175383.0,11585.0,0.643
2020-11-04 05:01:07+00:00,365915.0,321.0,0.2,1176419.0,1036.0,0.643
2020-11-04 05:09:14+00:00,379234.0,13319.0,0.204,1187895.0,11476.0,0.639
2020-11-04 05:10:01+00:00,383710.0,4476.0,0.204,1201915.0,14020.0,0.639
2020-11-04 05:13:13+00:00,383931.0,221.0,0.204,1202610.0,695.0,0.639
2020-11-04 05:17:28+00:00,383931.0,0.0,0.204,1202610.0,0.0,0.639
2020-11-04 05:27:23+00:00,384163.0,232.0,0.204,1203334.0,724.0,0.639
2020-11-04 05:30:38+00:00,386065.0,1902.0,0.20299999999999999,1217150.0,13816.0,0.64
2020-11-04 05:37:25+00:00,445646.0,59581.0,0.223,1229021.0,11871.0,0.615
2020-11-04 05:47:11+00:00,457589.0,11943.0,0.226,1237110.0,8089.0,0.611
2020-11-04 06:40:48+00:00,463876.0,6287.0,0.224,1267374.0,30264.0,0.612
2020-11-04 23:18:53+00:00,463876.0,0.0,0.224,1267375.0,1.0,0.612
2020-11-05 02:20:46+00:00,463876.0,0.0,0.224,1267375.0,0.0,0.612
2020-11-07 11:15:49+00:00,463890.0,14.0,0.224,1267414.0,39.0,0.612
